No,provinsi,Sungai,2017,2018,2019,2020,2021,2022
25,KEPULAUAN BANGKA BELITUNG,Baturusa,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Sedang  Cemar Berat,Cemar RinganCemar Sedang,Cemar Ringan,Memenuhi
26,KEPULAUAN BANGKA BELITUNG,Buding,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar RinganCemar Sedang,Cemar RinganCemar Sedang,MemenuhiCemar Ringan,Cemar Ringan
27,KEPULAUAN RIAU,Dam Duriangkang,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Sedang,Cemar Sedang,Cemar Ringan,Cemar Ringan
28,KEPULAUAN RIAU,Sei Pulai,,,,,Cemar Ringan,Cemar Ringan
29,KEPULAUAN RIAU,Sei Ladi,,,,,Cemar Ringan,Cemar Ringan
30,KEPULAUAN RIAU,Muka Kuning,,,,,MemenuhiCemar Ringan,Cemar Ringan
31,KEPULAUAN RIAU,Sei Jago,,,,,Cemar Ringan,Memenuhi
32,KEPULAUAN RIAU,Waduk Kolong 6,,,,,Cemar Ringan,
33,KEPULAUAN RIAU,Sei Gesek,,,,,Cemar Ringan,Cemar Ringan
34,DKI JAKARTA,Ciliwung,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan  Sedang
35,DKI JAKARTA,Citarum,,,,,Cemar Sedang,Cemar Sedang
36,DKI JAKARTA,Sunter,,,,,Cemar Sedang,Cemar Ringan
37,JAWA BARAT,Ciliwung,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan  Sedang
38,JAWA BARAT,Citarum,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Sedang,Cemar Sedang
